model,model_short,mean_f1_across_constructs,Power,Achievement,Hedonism,Stimulation,Self-Direction,Universalism,Benevolence,Tradition,Conformity,Security
gpt-oss-120b,GPT-oss-120B,0.8666666666666668,0.4,1.0,1.0,0.8,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
Qwen2.5-72B-Instruct,Qwen2.5-72B,0.8523809523809524,0.4,1.0,1.0,0.8,0.8,0.8571428571428571,1.0,0.6666666666666666,1.0,1.0
Qwen2.5-7B-Instruct,Qwen2.5-7B,0.8290476190476191,0.5,1.0,1.0,0.8,0.6666666666666666,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8
Qwen3-235B-A22B-Instruct-2507-FP8,Qwen3-235B,0.6861904761904761,0.8,0.8,0.6666666666666666,0.5714285714285715,0.6666666666666666,0.8571428571428571,0.8,0.4,0.8,0.5
gemma-3-27b-it,Gemma-3-27B,0.68,0.5,1.0,0.6666666666666666,0.5714285714285715,0.5714285714285715,0.8571428571428571,0.8,0.6666666666666666,0.6666666666666666,0.5
Qwen3-30B-A3B-Instruct-2507,Qwen3-30B,0.6666666666666667,0.6666666666666666,0.8,0.5714285714285715,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.4,0.8,0.5714285714285715
gemma-3-4b-it,Gemma-3-4B,0.487950937950938,0.4444444444444445,0.5714285714285715,0.5714285714285715,0.5714285714285715,0.3636363636363636,0.6,0.4,0.5714285714285715,0.5,0.2857142857142857
