model,model_short,mean_f1_across_constructs,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
gpt-oss-120b,GPT-oss-120B,0.9777089783281735,1.0,0.9473684210526316,0.9411764705882353,1.0,1.0
Qwen3-235B-A22B-Instruct-2507-FP8,Qwen3-235B,0.9564892623716152,0.9523809523809523,1.0,0.888888888888889,1.0,0.9411764705882353
Qwen3-30B-A3B-Instruct-2507,Qwen3-30B,0.9503759398496241,0.9473684210526316,0.9473684210526316,1.0,1.0,0.8571428571428571
gemma-3-27b-it,Gemma-3-27B,0.8082610939112487,0.9473684210526316,0.9473684210526316,0.9333333333333333,0.6250000000000001,0.5882352941176471
Qwen2.5-72B-Instruct,Qwen2.5-72B,0.7711843711843712,0.888888888888889,0.7142857142857143,0.7692307692307693,0.7142857142857143,0.7692307692307693
Qwen2.5-7B-Instruct,Qwen2.5-7B,0.7031135531135531,0.7499999999999999,0.6153846153846153,0.6666666666666666,0.7142857142857143,0.7692307692307693
gemma-3-4b-it,Gemma-3-4B,0.6739699928554417,0.8421052631578948,0.7058823529411765,0.7692307692307693,0.5263157894736842,0.5263157894736842
