model,model_short,mean_f1_across_constructs,Power,Achievement,Hedonism,Stimulation,Self-Direction,Universalism,Benevolence,Tradition,Conformity,Security
Qwen2.5-72B-Instruct,Qwen2.5-72B,0.7923015873015873,0.5,1.0,1.0,0.7499999999999999,0.888888888888889,0.8571428571428571,0.8,0.5714285714285715,0.888888888888889,0.6666666666666665
gpt-oss-120b,GPT-oss-120B,0.7907142857142857,0.5714285714285715,1.0,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,0.5714285714285715,0.8,0.5
Qwen2.5-7B-Instruct,Qwen2.5-7B,0.7869397269397269,0.4444444444444444,1.0,0.8571428571428571,0.8571428571428571,0.7272727272727273,0.923076923076923,0.888888888888889,0.5714285714285715,1.0,0.6
Qwen3-30B-A3B-Instruct-2507,Qwen3-30B,0.6771639471639472,0.6,0.888888888888889,0.7499999999999999,0.6666666666666666,0.7272727272727273,0.7499999999999999,0.7272727272727273,0.4,0.8,0.4615384615384615
Qwen3-235B-A22B-Instruct-2507-FP8,Qwen3-235B,0.6755882352941177,0.6,0.888888888888889,0.7499999999999999,0.6,0.8,0.7058823529411764,0.6666666666666666,0.4444444444444445,0.8,0.5
gemma-3-27b-it,Gemma-3-27B,0.6456567117093432,0.5,1.0,0.7499999999999999,0.5,0.6153846153846153,0.8,0.7272727272727273,0.5714285714285715,0.5714285714285715,0.4210526315789473
gemma-3-4b-it,Gemma-3-4B,0.48521591001824566,0.4,0.7272727272727273,0.6666666666666666,0.4615384615384615,0.3636363636363636,0.631578947368421,0.34782608695652173,0.5333333333333333,0.4444444444444445,0.27586206896551724
