model,model_short,mean_f1_across_constructs,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Qwen3-235B-A22B-Instruct-2507-FP8,Qwen3-235B,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,GPT-oss-120B,1.0,1.0,1.0,1.0,1.0,1.0
Qwen3-30B-A3B-Instruct-2507,Qwen3-30B,0.9333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666
gemma-3-27b-it,Gemma-3-27B,0.7333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5
Qwen2.5-72B-Instruct,Qwen2.5-72B,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Qwen2.5-7B-Instruct,Qwen2.5-7B,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
gemma-3-4b-it,Gemma-3-4B,0.58,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.4
